시도,시군구,허가구분,건축구분,주건축물수,부속건축물동수,주용도,기타용도,대지면적(_),건축면적(_),건폐율(%),연면적(_),용적률산전용면적(_),용적률(%),주용도(동),대표용도(동),세대수(동),호수(동),가구수(동),주구조(동),기타구조(동),지붕구조(동),건축면적(동)(_),연면적(동)(_),용적률산정용면적(동)(_),지하층수(동),지상층수(동),높이(m),승용승강기수(동),비상용승강기수(동),설계자상호명,허가_비허가
경상남도,김해시,용도변경허가,용도변경,1,0,제2종근린생활시설,제2종근린생활시설,"1,342.60","1,034.50",77.052,"9,989.44","9,039.49",673.2824,제2종근린생활시설,일반게임제공업의시설,0,49,0,철근콘크리트구조,철근콘크리트조/철골조,(철근)콘크리트,0,0,0,1,10,35.95,2,0,민건축사사무소,허가
전라북도,익산시,신축신고,신축,12,0,동.식물관련시설,작물재배사(버섯재배사),"4,023.80","1,796.16",44.6384,"1,796.16","1,796.16",44.6384,동.식물관련시설,작물재배사,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,149.68,149.68,149.68,0,1,3.942,0,0,동서건축사사무소,허가
충청남도,천안시 동남구,신축허가,신축,1,0,단독주택,다가구주택,406,156.31,38.5,395.92,395.92,97.52,단독주택,다가구주택,0,0,15,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,156.31,395.92,395.92,0,4,15.5,1,0,연이플러스건축사사무소,허가
광주광역시,북구,신축허가,신축,1,0,제1종근린생활시설,소매점(건축자재),"1,842",360,19.544,360,360,19.544,제1종근린생활시설,소매점,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,360,360,360,0,1,12.05,0,0,나성 건축사사무소,허가
경상북도,성주군,신축신고,신축,1,1,단독주택,단독주택,660,200.86,30.43,198.34,198.34,30.05,단독주택,단독주택,0,0,1,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,102.51,99.99,99.99,0,1,6.35,0,0,건축사사무소 그리드,허가
부산광역시,동래구,증축신고,증축,2,0,제1종근린생활시설,단독주택,142,92.76,65.3239,92.76,92.76,65.3239,제1종근린생활시설,휴게음식점,0,0,0,블록구조,브럭조,기와,0,0,0,0,1,0,0,0,심상건축사사무소,허가
경상남도,창녕군,신축신고,신축,1,0,단독주택,단독주택,307,120.51,39.25,146.16,146.16,47.61,단독주택,단독주택,0,0,1,일반목구조,일반철골구조,기타지붕,120.51,146.16,146.16,0,2,10.35,0,0,영제건축사사무소,허가
대구광역시,수성구,증축신고,증축,1,1,단독주택,제2종 근린생활시설(사무소),112,66.55,59.42,129.52,129.52,115.64,단독주택,다가구주택,0,0,0,블록구조,철근콘크리트구조,(철근)콘크리트,1,1,1,0,1,0,0,0,건축사사무소 인헌건축,허가
경상북도,경산시,신축허가,신축,1,0,단독주택,소매점,223,131.92,59.16,325.51,325.51,145.97,단독주택,다가구주택,0,0,6,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,131.92,325.51,325.51,0,3,11.9,0,0,아이.디 건축사 사무소,허가
부산광역시,사상구,증축허가,증축,1,0,공장,단독주택,696.5,484.2,69.52,669.98,669.98,95.88,공장,기타공장,0,0,0,일반철골구조,일반철골구조,기타지붕,0,185.78,185.78,0,2,11.6,0,0,동강 건축사사무소,허가
경기도,광주시,신축허가,신축,1,0,단독주택,다가구주택9가구및근린생활시설,990,196.95,19.89,658.59,658.59,66.52,단독주택,다가구주택,0,0,9,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,196.95,658.59,658.59,0,4,15.4,1,0,예가건축사사무소,허가
전라북도,김제시,신축허가,신축,1,0,동.식물관련시설,단독주택,848,265.17,31.27,265.17,265.17,31.27,동.식물관련시설,축사,0,0,0,강파이프구조,철근콘크리트구조,기타지붕,265.17,265.17,265.17,0,1,4.5,0,0,아리울 건축사사무소,허가
전라남도,목포시,증축허가,증축,2,0,제2종근린생활시설,창고시설,"3,966.10","1,517.33",38.26,"2,970.79","2,970.79",74.9,제2종근린생활시설,휴게음식점,0,0,0,일반철골구조,일반철골구조,(철근)콘크리트,0,105.6,105.6,0,3,13.02,1,0,성진강산건축사사무소,허가
충청남도,태안군,신축신고,신축,1,1,제1종근린생활시설,단독주택,"2,635",340.09,12.91,346.6,346.6,13.15,제1종근린생활시설,소매점,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,188.09,194.6,194.6,0,2,7.1,0,0,태안건축사사무소,허가
대전광역시,대덕구,용도변경신고,용도변경,1,0,제2종근린생활시설,"종교집회장,노유자시설","1,188",230.59,19.87,"1,100.88",754.86,65.07,제2종근린생활시설,영유아보육시설,0,0,0,철근콘크리트구조,철근콘크리트조,(철근)콘크리트,230.59,"1,100.88",754.86,1,4,18.82,1,0,(주)상.건축 건축사사무소,허가
서울특별시,성북구,용도변경허가,용도변경,2,0,단독주택,단독주택 및 문화및집회시설(미술관),450,143.93,31.98,490.03,264.62,58.8,문화및집회시설,미술관,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,0,221.08,0,2,0,0,0,0,수현건축사사무소,허가
전라남도,곡성군,신축신고,신축,0,0,제1종근린생활시설,휴게음식점,240,42.52,17.72,42.52,42.52,17.72,제1종근린생활시설,휴게음식점,0,0,0,경량철골구조,철근콘크리트구조,기타지붕,42.52,42.52,42.52,0,1,5.3,0,0,(주)건축사사무소 정호,허가
인천광역시,강화군,신축신고,신축,1,0,단독주택,단독주택,416,123,29.5673,123,123,29.5673,단독주택,단독주택,0,0,1,철근콘크리트구조,철근콘크리트구조,기타지붕,123,123,123,0,1,5.3,0,0,대교건축사사무소,허가
전라남도,담양군,협의건축물,증축,6,12,업무시설,(공공업무시설),"18,998","4,980.50",26.2159,"11,964.03","11,326.96",59.6219,업무시설,기타공공업무시설,0,0,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,568.36,"2,263.12","2,184.64",1,4,17.885,1,0,백운 건축사사무소,허가
인천광역시,계양구,협의건축물,증축,2,0,관광휴게시설,교양시설,"23,326",314.59,1.35,548.95,548.95,2.35,관광휴게시설,공원에 부수되는 시설,0,0,0,철근콘크리트구조,철근콘크리트,(철근)콘크리트,286.26,520.62,520.62,0,2,10.55,1,0,미래공간건축사사무소,허가
경기도,수원시 장안구,증축허가,증축,3,0,종교시설,수도원,"3,669",730.64,19.9139,"4,097.83","2,770.13",75.501,종교시설,수도원,0,0,0,철근콘크리트구조,라멘조/벽식구조,(철근)콘크리트,269.31,"1,826.89","1,023.48",1,4,18.35,1,0,이림건축사사무소,허가
경기도,김포시,신축신고,신축,1,0,단독주택,단독주택,310,89.46,28.86,89.46,89.46,28.86,단독주택,단독주택,0,1,0,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,89.46,89.46,89.46,0,1,4.9,0,0,산건축사사무소,허가
경기도,파주시,신축허가,신축,1,0,제1종근린생활시설,소매점,538.9,414,76.82,498,498,92.41,제1종근린생활시설,소매점,0,0,0,일반철골구조,일반철골구조,기타지붕,414,498,498,0,2,8.5,0,0,좋은건축사사무소,허가
전라북도,군산시,신축신고,신축,1,0,단독주택,단독주택,953,107.58,11.2886,154.74,154.74,16.2371,단독주택,단독주택,0,0,1,철근콘크리트구조,철근콘크리트구조,(철근)콘크리트,107.58,154.74,154.74,0,2,7.8,0,0,천지건축사사무소,허가
경상북도,김천시,증축허가,증축,8,0,동.식물관련시설,우사,"7,412","2,787.30",37.6,"2,925.30","2,925.30",39.46,동.식물관련시설,축사,0,0,0,강파이프구조,철근콘크리트구조,기타지붕,227.5,227.5,227.5,0,1,4.85,0,0,종합건축사사무소 금산(주),허가
경기도,포천시,신축허가,신축,1,0,제2종근린생활시설,제조업소,"1,310",435,33.21,435,435,33.21,제2종근린생활시설,제조업소,0,0,0,일반철골구조,철근콘크리트구조,기타지붕,435,435,435,0,1,10.5,0,0,미르건축사사무소,허가
